"csi","reasons"
"anxiety","I was concerned that revealing my anxiety would waste class time"
"fgen","I had never thought about revealing that I am a first-generation college student to all students in this course"
"depress","I did not feel like I had a personal enough relationship with the students in this course<split here>I thought that revealing my depression to all undergraduates in this course was inappropriate<split here>I typically do not share my depression with people<split here>I did not feel my depression was relevant to the students in this course<split here>I did not feel my depression was relevant to the course content<split here>I did not know others in the department, such as other faculty or instructors, who had revealed a similar identity to people in the department<split here>I had never thought about revealing my depression to all students in this course<split here>I was concerned students would have a negative opinion about my depression<split here>I was concerned that revealing my depression would waste class time"
"anxiety","I did not feel like I had a personal enough relationship with the students in this course<split here>I thought that revealing my anxiety to all undergraduates in this course was inappropriate<split here>I typically do not share my anxiety with people<split here>I did not feel my anxiety was relevant to the students in this course<split here>I did not feel my anxiety was relevant to the course content<split here>I did not know others in the department, such as other faculty or instructors, who had revealed a similar identity to people in the department<split here>I had never thought about revealing my anxiety to all students in this course<split here>I was concerned students would have a negative opinion about my anxiety<split here>I was concerned that revealing my anxiety would waste class time"
"fgen","I did not feel like I had a personal enough relationship with the students in this course<split here>I typically do not share that I am a first-generation college student with people<split here>I did not feel that me being a first-generation college student was relevant to the course content<split here>I was concerned that revealing that I am a first-generation college student would waste class time"
"anxiety","I thought that revealing my anxiety to all undergraduates in this course was inappropriate<split here>I typically do not share my anxiety with people<split here>I did not know others in the department, such as other faculty or instructors, who had revealed a similar identity to people in the department<split here>I was concerned students would have a negative opinion about my anxiety<split here>I was concerned that revealing my anxiety would result in poor course evaluations"
"anxiety","I did not feel my anxiety was relevant to the students in this course<split here>I was concerned that I would be subjected to departmental disciplinary action for revealing my anxiety"
"addiction","I was concerned I could be fired for revealing my addiction"
"fgen","I did not feel that me being a first-generation college student was relevant to the students in this course<split here>I did not feel that me being a first-generation college student was relevant to the course content<split here>I had never thought about revealing that I am a first-generation college student to all students in this course"
"anxiety","I did not feel like I had a personal enough relationship with the students in this course<split here>I thought that revealing my anxiety to all undergraduates in this course was inappropriate<split here>I typically do not share my anxiety with people<split here>I had never thought about revealing my anxiety to all students in this course"
"ses","I did not feel that growing up in a low-income household was relevant to the course content"
"anxiety","I did not feel like I had a personal enough relationship with the students in this course<split here>I typically do not share my anxiety with people"
"fgen","I did not feel like I had a personal enough relationship with the students in this course<split here>I typically do not share that I am a first-generation college student with people"
"ses","I did not think that revealing that I grew up in a low-income household to all undergraduates in this course was inappropriate<split here>I typically do not share that I grew up in a low-income household with people<split here>I did not feel that growing up in a low-income household was relevant to the students in this course<split here>I did not feel that growing up in a low-income household was relevant to the course content<split here>I had never thought about revealing that I grew up in a low-income household to all students in this course<split here>I was concerned that revealing that I grew up in a low-income household would waste class time"
"fgen","I did not think that revealing that I am a first-generation college student to all undergraduates in this course was inappropriate<split here>I typically do not share that I am a first-generation college student with people<split here>I did not feel that me being a first-generation college student was relevant to the students in this course<split here>I did not feel that me being a first-generation college student was relevant to the course content<split here>I had never thought about revealing that I am a first-generation college student to all students in this course"
"ses","I did not feel like I had a personal enough relationship with the students in this course<split here>I did not think that revealing that I grew up in a low-income household to all undergraduates in this course was inappropriate<split here>I typically do not share that I grew up in a low-income household with people<split here>I did not feel that growing up in a low-income household was relevant to the students in this course<split here>I did not feel that growing up in a low-income household was relevant to the course content<split here>I did not know others in the department, such as other faculty or instructors, who had revealed a similar identity to people in the department"
"fgen","I did not feel like I had a personal enough relationship with the students in this course<split here>I did not think that revealing that I am a first-generation college student to all undergraduates in this course was inappropriate<split here>I typically do not share that I am a first-generation college student with people<split here>I did not feel that me being a first-generation college student was relevant to the students in this course<split here>I did not feel that me being a first-generation college student was relevant to the course content<split here>I did not know others in the department, such as other faculty or instructors, who had revealed a similar identity to people in the department"
"depress","I typically do not share my depression with people<split here>I did not know others in the department, such as other faculty or instructors, who had revealed a similar identity to people in the department<split here>I was concerned students would have a negative opinion about my depression<split here>I was concerned that revealing my depression would result in poor course evaluations<split here>I was concerned that revealing my depression would waste class time"
"anxiety","I typically do not share my anxiety with people<split here>I did not feel my anxiety was relevant to the students in this course<split here>I did not feel my anxiety was relevant to the course content<split here>I did not know others in the department, such as other faculty or instructors, who had revealed a similar identity to people in the department<split here>I was concerned students would have a negative opinion about my anxiety<split here>I was concerned that revealing my anxiety would result in poor course evaluations<split here>I was concerned that revealing my anxiety would waste class time"
"depress","I typically do not share my depression with people"
"anxiety","I typically do not share my anxiety with people"
"depress","I typically do not share my depression with people<split here>I did not feel my depression was relevant to the students in this course<split here>I did not feel my depression was relevant to the course content<split here>I had never thought about revealing my depression to all students in this course"
"fgen","I did not feel that me being a first-generation college student was relevant to the course content<split here>I had never thought about revealing that I am a first-generation college student to all students in this course<split here>I was concerned that revealing that I am a first-generation college student would waste class time"
"fgen","I did not feel that me being a first-generation college student was relevant to the students in this course"
"depress","I typically do not share my depression with people<split here>I did not feel my depression was relevant to the students in this course<split here>I did not feel my depression was relevant to the course content<split here>I had never thought about revealing my depression to all students in this course"
"anxiety","I typically do not share my anxiety with people<split here>I did not feel my anxiety was relevant to the students in this course<split here>I did not feel my anxiety was relevant to the course content<split here>I had never thought about revealing my anxiety to all students in this course"
"struggle","I did not feel my previous academic struggle in college was relevant to the students in this course<split here>I did not feel my previous academic struggle in college was relevant to the course content<split here>I had never thought about revealing my previous academic struggle in college to all students in this course"
"fgen","I did not feel that me being a first-generation college student was relevant to the students in this course<split here>I did not feel that me being a first-generation college student was relevant to the course content"
"struggle","I did not feel my previous academic struggle in college was relevant to the course content"
"depress","I thought that revealing my depression to all undergraduates in this course was inappropriate<split here>I typically do not share my depression with people<split here>I did not feel my depression was relevant to the students in this course<split here>I did not know others in the department, such as other faculty or instructors, who had revealed a similar identity to people in the department<split here>I had never thought about revealing my depression to all students in this course"
"anxiety","I thought that revealing my anxiety to all undergraduates in this course was inappropriate<split here>I typically do not share my anxiety with people<split here>I did not feel my anxiety was relevant to the students in this course<split here>I did not know others in the department, such as other faculty or instructors, who had revealed a similar identity to people in the department<split here>I had never thought about revealing my anxiety to all students in this course"
"ses","I did not feel like I had a personal enough relationship with the students in this course<split here>I did not think that revealing that I grew up in a low-income household to all undergraduates in this course was inappropriate<split here>I typically do not share that I grew up in a low-income household with people<split here>I did not feel that growing up in a low-income household was relevant to the students in this course<split here>I did not know others in the department, such as other faculty or instructors, who had revealed a similar identity to people in the department<split here>I had never thought about revealing that I grew up in a low-income household to all students in this course"
"struggle","I did not feel like I had a personal enough relationship with the students in this course<split here>I did not feel my previous academic struggle in college was relevant to the course content<split here>I did not know others in the department, such as other faculty or instructors, who had revealed a similar identity to people in the department<split here>I had never thought about revealing my previous academic struggle in college to all students in this course<split here>I was concerned that revealing my previous academic struggle in college would waste class time"
"transfer","I did not feel my college transfer status was relevant to the students in this course<split here>I did not know others in the department, such as other faculty or instructors, who had revealed a similar identity to people in the department<split here>I had never thought about revealing my college transfer status to all students in this course<split here>I was concerned that revealing my college transfer status would waste class time"
"lgbq","I typically do not share my LGBTQ+ identity referring to sexuality and/or romantic attraction (eg gay, bisexual) with people"
"depress","I typically do not share my depression with people"
"anxiety","I typically do not share my anxiety with people"
"ses","I typically do not share that I grew up in a low-income household with people"
"fgen","I typically do not share that I am a first-generation college student with people"
"anxiety","I typically do not share my anxiety with people"
"anxiety","I did not feel my anxiety was relevant to the students in this course<split here>I did not feel my anxiety was relevant to the course content<split here>I did not know others in the department, such as other faculty or instructors, who had revealed a similar identity to people in the department<split here>I had never thought about revealing my anxiety to all students in this course"
"ses","I did not think that revealing that I grew up in a low-income household to all undergraduates in this course was inappropriate<split here>I did not feel that growing up in a low-income household was relevant to the students in this course<split here>I did not feel that growing up in a low-income household was relevant to the course content"
"fgen","I typically do not share that I am a first-generation college student with people<split here>I did not feel that me being a first-generation college student was relevant to the students in this course<split here>I did not feel that me being a first-generation college student was relevant to the course content"
"fgen","I had never thought about revealing that I am a first-generation college student to all students in this course"
"lgbq","I did not feel like I had a personal enough relationship with the students in this course<split here>I thought that revealing my LGBTQ+ identity referring to sexuality and/or romantic attraction (eg gay, bisexual) to all undergraduates in this course was inappropriate<split here>I did not feel my LGBTQ+ identity referring to sexuality and/or romantic attraction (eg gay, bisexual) was relevant to the students in this course<split here>I did not feel my LGBTQ+ identity referring to sexuality and/or romantic attraction (eg gay, bisexual) was relevant to the course content<split here>I had never thought about revealing my LGBTQ+ identity referring to sexuality and/or romantic attraction (eg gay, bisexual) to all students in this course"
"anxiety","I did not feel like I had a personal enough relationship with the students in this course<split here>I thought that revealing my anxiety to all undergraduates in this course was inappropriate<split here>I typically do not share my anxiety with people<split here>I did not feel my anxiety was relevant to the students in this course<split here>I did not feel my anxiety was relevant to the course content<split here>I did not know others in the department, such as other faculty or instructors, who had revealed a similar identity to people in the department<split here>I had never thought about revealing my anxiety to all students in this course<split here>I was concerned students would have a negative opinion about my anxiety<split here>I was concerned that revealing my anxiety would waste class time"
"anxiety","I typically do not share my anxiety with people<split here>I did not feel my anxiety was relevant to the students in this course<split here>I did not feel my anxiety was relevant to the course content"
"depress","I was concerned that I would be subjected to departmental disciplinary action for revealing my depression"
"anxiety","I was concerned that I would be subjected to departmental disciplinary action for revealing my anxiety"
"ses","I was concerned students would have a negative opinion about the fact that I grew up in a low-income household<split here>I was concerned that revealing that I grew up in a low-income household would result in poor course evaluations"
"struggle","I thought that revealing my previous academic struggle in college to all undergraduates in this course was inappropriate<split here>I typically do not share my previous academic struggle in college with people<split here>I was concerned students would have a negative opinion about my previous academic struggle in college<split here>I was concerned that revealing my previous academic struggle would result in poor course evaluations"
"depress","I did not feel like I had a personal enough relationship with the students in this course<split here>I thought that revealing my depression to all undergraduates in this course was inappropriate<split here>I typically do not share my depression with people<split here>I did not feel my depression was relevant to the students in this course<split here>I did not feel my depression was relevant to the course content<split here>I had never thought about revealing my depression to all students in this course<split here>I was concerned that revealing my depression would waste class time"
"anxiety","I did not feel like I had a personal enough relationship with the students in this course<split here>I typically do not share my anxiety with people<split here>I did not feel my anxiety was relevant to the students in this course<split here>I had never thought about revealing my anxiety to all students in this course"
"struggle","I typically do not share my previous academic struggle in college with people"
"fgen","I had never thought about revealing that I am a first-generation college student to all students in this course"
"lgbq","I did not feel my LGBTQ+ identity referring to sexuality and/or romantic attraction (eg gay, bisexual) was relevant to the students in this course<split here>I did not feel my LGBTQ+ identity referring to sexuality and/or romantic attraction (eg gay, bisexual) was relevant to the course content<split here>I was concerned students would have a negative opinion about my LGBTQ+ identity referring to sexuality and/or romantic attraction (eg gay, bisexual)<split here>I was concerned that revealing my LGBTQ+ identity referring to sexuality and/or romantic attraction (eg gay, bisexual) would waste class time"
"depress","I typically do not share my depression with people<split here>I did not feel my depression was relevant to the students in this course<split here>I did not feel my depression was relevant to the course content<split here>I was concerned students would have a negative opinion about my depression"
"anxiety","I typically do not share my anxiety with people<split here>I did not feel my anxiety was relevant to the course content"
"lgbq","I did not feel like I had a personal enough relationship with the students in this course"
"depress","I did not feel like I had a personal enough relationship with the students in this course"
"anxiety","I did not feel like I had a personal enough relationship with the students in this course"
"transfer","I had never thought about revealing my college transfer status to all students in this course"
"fgen","I did not feel that me being a first-generation college student was relevant to the course content"
"anxiety","I typically do not share my anxiety with people<split here>I did not know others in the department, such as other faculty or instructors, who had revealed a similar identity to people in the department<split here>I was concerned students would have a negative opinion about my anxiety"
"anxiety","I did not feel like I had a personal enough relationship with the students in this course<split here>I typically do not share my anxiety with people<split here>I did not feel my anxiety was relevant to the students in this course<split here>I did not feel my anxiety was relevant to the course content<split here>I did not know others in the department, such as other faculty or instructors, who had revealed a similar identity to people in the department<split here>I had never thought about revealing my anxiety to all students in this course"
"anxiety","I did not feel like I had a personal enough relationship with the students in this course<split here>I typically do not share my anxiety with people"
"anxiety","I did not feel my anxiety was relevant to the course content"
"depress","I thought that revealing my depression to all undergraduates in this course was inappropriate<split here>I typically do not share my depression with people<split here>I did not feel my depression was relevant to the students in this course"
"ses","I typically do not share that I grew up in a low-income household with people<split here>I had never thought about revealing that I grew up in a low-income household to all students in this course"
"struggle","I did not feel like I had a personal enough relationship with the students in this course<split here>I thought that revealing my previous academic struggle in college to all undergraduates in this course was inappropriate<split here>I typically do not share my previous academic struggle in college with people<split here>I did not feel my previous academic struggle in college was relevant to the course content"
"ses","I typically do not share that I grew up in a low-income household with people<split here>I did not feel that growing up in a low-income household was relevant to the course content<split here>I had never thought about revealing that I grew up in a low-income household to all students in this course"
"anxiety","I did not feel like I had a personal enough relationship with the students in this course<split here>I typically do not share my anxiety with people"
"struggle","I had never thought about revealing my previous academic struggle in college to all students in this course<split here>I was concerned students would have a negative opinion about my previous academic struggle in college<split here>I was concerned that revealing my previous academic struggle would result in poor course evaluations"
"depress","I had never thought about revealing my depression to all students in this course"
"anxiety","I had never thought about revealing my anxiety to all students in this course"
"anxiety","I did not feel like I had a personal enough relationship with the students in this course<split here>I thought that revealing my anxiety to all undergraduates in this course was inappropriate<split here>I did not feel my anxiety was relevant to the students in this course<split here>I did not feel my anxiety was relevant to the course content<split here>I had never thought about revealing my anxiety to all students in this course"
"ses","I did not think that revealing that I grew up in a low-income household to all undergraduates in this course was inappropriate<split here>I did not feel that growing up in a low-income household was relevant to the course content"
"lgbq","I did not feel like I had a personal enough relationship with the students in this course<split here>I thought that revealing my LGBTQ+ identity referring to sexuality and/or romantic attraction (eg gay, bisexual) to all undergraduates in this course was inappropriate<split here>I typically do not share my LGBTQ+ identity referring to sexuality and/or romantic attraction (eg gay, bisexual) with people<split here>I did not feel my LGBTQ+ identity referring to sexuality and/or romantic attraction (eg gay, bisexual) was relevant to the students in this course<split here>I did not feel my LGBTQ+ identity referring to sexuality and/or romantic attraction (eg gay, bisexual) was relevant to the course content<split here>I did not know others in the department, such as other faculty or instructors, who had revealed a similar identity to people in the department<split here>I had never thought about revealing my LGBTQ+ identity referring to sexuality and/or romantic attraction (eg gay, bisexual) to all students in this course<split here>I was concerned students would have a negative opinion about my LGBTQ+ identity referring to sexuality and/or romantic attraction (eg gay, bisexual)<split here>I was concerned that revealing my LGBTQ+ identity referring to sexuality and/or romantic attraction (eg gay, bisexual) would result in poor course evaluations<split here>I was concerned that I would be subjected to departmental disciplinary action for revealing my LGBTQ+ identity referring to sexuality and/or romantic attraction (eg gay, bisexual)<split here>I was concerned I could be fired for revealing my LGBTQ+ identity referring to sexuality and/or romantic attraction (eg gay, bisexual)<split here>I was concerned that revealing my LGBTQ+ identity referring to sexuality and/or romantic attraction (eg gay, bisexual) would waste class time"
"anxiety","I did not feel like I had a personal enough relationship with the students in this course<split here>I thought that revealing my anxiety to all undergraduates in this course was inappropriate<split here>I typically do not share my anxiety with people<split here>I did not feel my anxiety was relevant to the students in this course<split here>I did not feel my anxiety was relevant to the course content<split here>I did not know others in the department, such as other faculty or instructors, who had revealed a similar identity to people in the department<split here>I had never thought about revealing my anxiety to all students in this course<split here>I was concerned students would have a negative opinion about my anxiety<split here>I was concerned that revealing my anxiety would result in poor course evaluations<split here>I was concerned that revealing my anxiety would waste class time"
"ses","I did not feel that growing up in a low-income household was relevant to the course content"
"fgen","I had never thought about revealing that I am a first-generation college student to all students in this course"
"fgen","I typically do not share that I am a first-generation college student with people"
"anxiety","I typically do not share my anxiety with people<split here>I had never thought about revealing my anxiety to all students in this course"
"anxiety","I did not feel like I had a personal enough relationship with the students in this course<split here>I thought that revealing my anxiety to all undergraduates in this course was inappropriate<split here>I was concerned students would have a negative opinion about my anxiety<split here>I was concerned that revealing my anxiety would result in poor course evaluations"
"disability","I typically do not share that I have a disability with people"
"transfer","I did not feel my college transfer status was relevant to the students in this course<split here>I did not feel my college transfer status was relevant to the course content<split here>I had never thought about revealing my college transfer status to all students in this course"
"fgen","I had never thought about revealing that I am a first-generation college student to all students in this course"
"addiction","I typically do not share my addiction with people<split here>I did not feel my addiction was relevant to the students in this course<split here>I did not feel my addiction was relevant to the course content<split here>I had never thought about revealing my addiction to all students in this course"
"depress","I thought that revealing my depression to all undergraduates in this course was inappropriate<split here>I typically do not share my depression with people"
"fgen","I did not think that revealing that I am a first-generation college student to all undergraduates in this course was inappropriate<split here>I typically do not share that I am a first-generation college student with people<split here>I did not feel that me being a first-generation college student was relevant to the students in this course<split here>I did not know others in the department, such as other faculty or instructors, who had revealed a similar identity to people in the department"
"lgbq","I thought that revealing my LGBTQ+ identity referring to sexuality and/or romantic attraction (eg gay, bisexual) to all undergraduates in this course was inappropriate<split here>I did not know others in the department, such as other faculty or instructors, who had revealed a similar identity to people in the department"
"depress","I thought that revealing my depression to all undergraduates in this course was inappropriate<split here>I typically do not share my depression with people<split here>I did not know others in the department, such as other faculty or instructors, who had revealed a similar identity to people in the department<split here>I was concerned students would have a negative opinion about my depression"
"anxiety","I typically do not share my anxiety with people<split here>I did not know others in the department, such as other faculty or instructors, who had revealed a similar identity to people in the department"
"ses","I did not feel like I had a personal enough relationship with the students in this course<split here>I did not feel that growing up in a low-income household was relevant to the students in this course<split here>I did not feel that growing up in a low-income household was relevant to the course content<split here>I had never thought about revealing that I grew up in a low-income household to all students in this course<split here>I was concerned that revealing that I grew up in a low-income household would waste class time"
"struggle","I did not feel like I had a personal enough relationship with the students in this course<split here>I did not feel my previous academic struggle in college was relevant to the students in this course<split here>I did not feel my previous academic struggle in college was relevant to the course content<split here>I was concerned that revealing my previous academic struggle in college would waste class time"
"ses","I typically do not share that I grew up in a low-income household with people<split here>I did not feel that growing up in a low-income household was relevant to the students in this course<split here>I did not feel that growing up in a low-income household was relevant to the course content<split here>I did not know others in the department, such as other faculty or instructors, who had revealed a similar identity to people in the department<split here>I had never thought about revealing that I grew up in a low-income household to all students in this course"
"depress","I did not feel like I had a personal enough relationship with the students in this course<split here>I thought that revealing my depression to all undergraduates in this course was inappropriate<split here>I did not feel my depression was relevant to the students in this course<split here>I did not feel my depression was relevant to the course content<split here>I was concerned students would have a negative opinion about my depression<split here>I was concerned that revealing my depression would result in poor course evaluations"
"anxiety","I did not feel like I had a personal enough relationship with the students in this course<split here>I thought that revealing my anxiety to all undergraduates in this course was inappropriate<split here>I did not feel my anxiety was relevant to the students in this course<split here>I did not feel my anxiety was relevant to the course content<split here>I was concerned students would have a negative opinion about my anxiety<split here>I was concerned that revealing my anxiety would result in poor course evaluations"
"lgbq","I did not feel my LGBTQ+ identity referring to sexuality and/or romantic attraction (eg gay, bisexual) was relevant to the course content"
"fgen","I did not feel like I had a personal enough relationship with the students in this course<split here>I did not think that revealing that I am a first-generation college student to all undergraduates in this course was inappropriate<split here>I did not feel that me being a first-generation college student was relevant to the course content<split here>I had never thought about revealing that I am a first-generation college student to all students in this course"
"lgbq","I did not feel like I had a personal enough relationship with the students in this course<split here>I did not feel my LGBTQ+ identity referring to sexuality and/or romantic attraction (eg gay, bisexual) was relevant to the students in this course<split here>I did not feel my LGBTQ+ identity referring to sexuality and/or romantic attraction (eg gay, bisexual) was relevant to the course content<split here>I had never thought about revealing my LGBTQ+ identity referring to sexuality and/or romantic attraction (eg gay, bisexual) to all students in this course<split here>I was concerned students would have a negative opinion about my LGBTQ+ identity referring to sexuality and/or romantic attraction (eg gay, bisexual)<split here>I was concerned that revealing my LGBTQ+ identity referring to sexuality and/or romantic attraction (eg gay, bisexual) would result in poor course evaluations<split here>I was concerned that revealing my LGBTQ+ identity referring to sexuality and/or romantic attraction (eg gay, bisexual) would waste class time"
"depress","I did not feel like I had a personal enough relationship with the students in this course<split here>I thought that revealing my depression to all undergraduates in this course was inappropriate<split here>I typically do not share my depression with people<split here>I did not feel my depression was relevant to the students in this course<split here>I did not feel my depression was relevant to the course content<split here>I had never thought about revealing my depression to all students in this course<split here>I was concerned that revealing my depression would waste class time"
"anxiety","I did not feel like I had a personal enough relationship with the students in this course<split here>I thought that revealing my anxiety to all undergraduates in this course was inappropriate<split here>I typically do not share my anxiety with people<split here>I did not feel my anxiety was relevant to the students in this course<split here>I did not feel my anxiety was relevant to the course content<split here>I had never thought about revealing my anxiety to all students in this course<split here>I was concerned that revealing my anxiety would waste class time"
"fgen","I did not feel that me being a first-generation college student was relevant to the students in this course<split here>I did not feel that me being a first-generation college student was relevant to the course content<split here>I had never thought about revealing that I am a first-generation college student to all students in this course"
"anxiety","I did not feel like I had a personal enough relationship with the students in this course<split here>I thought that revealing my anxiety to all undergraduates in this course was inappropriate<split here>I was concerned that revealing my anxiety would result in poor course evaluations"
"fgen","I did not feel that me being a first-generation college student was relevant to the course content<split here>I had never thought about revealing that I am a first-generation college student to all students in this course<split here>I was concerned that revealing that I am a first-generation college student would waste class time"
"ses","I did not feel like I had a personal enough relationship with the students in this course<split here>I did not feel that growing up in a low-income household was relevant to the students in this course<split here>I did not feel that growing up in a low-income household was relevant to the course content"
"fgen","I did not feel like I had a personal enough relationship with the students in this course<split here>I did not feel that me being a first-generation college student was relevant to the students in this course<split here>I did not feel that me being a first-generation college student was relevant to the course content"
"transfer","I did not feel like I had a personal enough relationship with the students in this course<split here>I did not feel my college transfer status was relevant to the students in this course<split here>I did not feel my college transfer status was relevant to the course content"
"anxiety","I thought that revealing my anxiety to all undergraduates in this course was inappropriate<split here>I did not feel my anxiety was relevant to the students in this course<split here>I did not feel my anxiety was relevant to the course content<split here>I did not know others in the department, such as other faculty or instructors, who had revealed a similar identity to people in the department<split here>I had never thought about revealing my anxiety to all students in this course<split here>I was concerned students would have a negative opinion about my anxiety"
"ses","I did not feel like I had a personal enough relationship with the students in this course<split here>I did not think that revealing that I grew up in a low-income household to all undergraduates in this course was inappropriate<split here>I typically do not share that I grew up in a low-income household with people<split here>I did not feel that growing up in a low-income household was relevant to the course content"
"fgen","I did not feel like I had a personal enough relationship with the students in this course<split here>I did not think that revealing that I am a first-generation college student to all undergraduates in this course was inappropriate<split here>I typically do not share that I am a first-generation college student with people<split here>I did not feel that me being a first-generation college student was relevant to the course content<split here>I had never thought about revealing that I am a first-generation college student to all students in this course"
"ses","I did not think that revealing that I grew up in a low-income household to all undergraduates in this course was inappropriate"
"fgen","I did not feel that me being a first-generation college student was relevant to the students in this course<split here>I did not feel that me being a first-generation college student was relevant to the course content"
"anxiety","I did not feel like I had a personal enough relationship with the students in this course<split here>I typically do not share my anxiety with people<split here>I did not feel my anxiety was relevant to the course content<split here>I was concerned that revealing my anxiety would result in poor course evaluations"
"struggle","I did not feel my previous academic struggle in college was relevant to the course content<split here>I had never thought about revealing my previous academic struggle in college to all students in this course<split here>I was concerned that revealing my previous academic struggle would result in poor course evaluations"
"lgbq","I did not feel like I had a personal enough relationship with the students in this course<split here>I did not feel my LGBTQ+ identity referring to sexuality and/or romantic attraction (eg gay, bisexual) was relevant to the course content<split here>I was concerned students would have a negative opinion about my LGBTQ+ identity referring to sexuality and/or romantic attraction (eg gay, bisexual)<split here>I was concerned that revealing my LGBTQ+ identity referring to sexuality and/or romantic attraction (eg gay, bisexual) would result in poor course evaluations"
"depress","I did not feel like I had a personal enough relationship with the students in this course<split here>I typically do not share my depression with people<split here>I was concerned students would have a negative opinion about my depression<split here>I was concerned that revealing my depression would result in poor course evaluations"
"anxiety","I did not feel like I had a personal enough relationship with the students in this course<split here>I did not feel my anxiety was relevant to the course content<split here>I had never thought about revealing my anxiety to all students in this course<split here>I was concerned students would have a negative opinion about my anxiety<split here>I was concerned that revealing my anxiety would result in poor course evaluations"
"anxiety","I did not feel my anxiety was relevant to the students in this course"
